,ASX code,Company name,GICs industry group,Listing date,Market Cap,market_cap,beta,industry_cap,industry_weight,weighted_beta,industry_beta
1144,MTO,MOTORCYCLE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,29/04/2016,227498034,227498034,0.43028684227262454,143099880937,0.0015897849286132981,0.0006840635368256259,0.9825524600056665
1145,MTS,METCASH LIMITED,Consumer Staples Distribution & Retail,08/04/2005,3626664215,3626664215,0.6341435847926074,77091914297,0.04704337994550396,0.029832257599402535,0.503096945693974
1146,MVF,MONASH IVF GROUP LIMITED,Health Care Equipment & Services,26/06/2014,290277956,290277956,0.6184585748604553,195869793311,0.0014819944979423127,0.0009165522051484387,0.7240078018435547
1147,MVL,MARVEL GOLD LIMITED,Materials,14/06/2016,29808640,29808640,0.40523238216009594,1009891818903,2.951666648055411e-05,1.1961109071339997e-05,1.0750260251119568
1148,MVP,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",15/12/2003,61962078,61962078,0.7188192669535345,104138713167,0.0005949956180141743,0.00042769431398151397,0.8464389618170871
1149,MX1,MICRO-X LIMITED,Health Care Equipment & Services,22/12/2015,67525154,67525154,0.5223896837720117,195869793311,0.0003447451128555809,0.0001800912904865734,0.7240078018435547
1150,MXI,MAXIPARTS LIMITED,Capital Goods,07/12/1994,120531700,120531700,0.3029377327255362,92779037735,0.0012991264292292889,0.00039355441499454253,0.9099567935722183
1151,MXO,MOTIO LTD,Media & Entertainment,09/05/2011,16780973,16780973,0.44483959027821424,103138247252,0.0001627036860438269,7.237704103649117e-05,0.8706844402831332
1152,MXT,METRICS MASTER INCOME TRUST,Not Applic,09/10/2017,2441919930,2441919930,0.13781667901280573,53144097147,0.04594903406196726,0.0063325432782666185,0.39524811934156545
1153,MYE,MASTERMYNE GROUP LIMITED,Materials,07/05/2010,47840473,47840473,0.37802096664921414,1009891818903,4.737187895230892e-05,1.7907563473541382e-05,1.0750260251119568
1154,MYG,MAYFIELD GROUP HOLDINGS LIMITED,Capital Goods,30/10/1986,326401704,326401704,0.26163972948153746,92779037735,0.0035180544222961703,0.0009204628073508966,0.9099567935722183
1155,MYR,MYER HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,02/11/2009,796143252,796143252,1.175535938119252,143099880937,0.0055635493669663055,0.006540152224369507,0.9825524600056665
1156,MYS,MYSTATE LIMITED,Banks,10/09/2009,773774932,773774932,0.6994992482328422,649780584035,0.0011908249507780323,0.0008329811578461449,1.0014809807423006
1157,MYX,MAYNE PHARMA GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",29/06/2007,235612898,235612898,0.914542599459784,104138713167,0.002262490968389095,0.002069144371484847,0.8464389618170871
1158,N1H,N1 HOLDINGS LIMITED,Financial Services,18/03/2016,10126391,10126391,0.0019614303437303533,225859949849,4.483482355667775e-05,8.794038337986417e-08,1.3141430087693993
1159,NAB,NATIONAL AUSTRALIA BANK LIMITED,Banks,31/01/1962,129940264749,129940264749,0.9881632506126024,649780584035,0.19997560398326839,0.19760854287532495,1.0014809807423006
1160,NAC,NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,Not Applic,12/11/2014,32056314,32056314,0.39673966501344754,53144097147,0.0006031961350539114,0.00023931183255869505,0.39524811934156545
1161,NAE,NEW AGE EXPLORATION LIMITED,Energy,18/02/1994,14720690,14720690,0.3658288431096359,126672735205,0.00011621040610023039,4.2513118420948263e-05,1.0282868425662293
1162,NAG,NAGAMBIE RESOURCES LIMITED,Materials,23/06/2006,11480268,11480268,0.9331399046194497,1009891818903,1.1367819587320252e-05,1.0607766085443133e-05,1.0750260251119568
1163,NAN,NANOSONICS LIMITED,Health Care Equipment & Services,17/05/2007,1222484501,1222484501,1.210870218735066,195869793311,0.006241312048861725,0.007557418885799,0.7240078018435547
1164,NC1,NICO RESOURCES LIMITED,Materials,19/01/2022,41038293,41038293,1.4217038588226298,1009891818903,4.063632582406504e-05,5.7772821232446957e-05,1.0750260251119568
1165,NC6,NANOLLOSE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",18/10/2017,20822171,20822171,0.8874441504725871,104138713167,0.00019994649796189565,0.00017744135002376333,0.8464389618170871
1166,NCC,NAOS EMERGING OPPORTUNITIES COMPANY LIMITED,Not Applic,26/02/2013,32471824,32471824,0.523037563928757,53144097147,0.0006110146891795121,0.0003195836345531386,0.39524811934156545
1167,NCK,NICK SCALI LIMITED,Consumer Discretionary Distribution & Retail,26/05/2004,2175045676,2175045676,1.0717438453722197,143099880937,0.015199493261336591,0.01628996335561402,0.9825524600056665
1168,NDO,NIDO EDUCATION LIMITED,Consumer Services,16/10/2023,133943640,133943640,0.38433316414684504,83496805459,0.0016041768216602161,0.0006165383537197,0.9363588553089106
1169,NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,Media & Entertainment,06/12/2013,1863270495,1863270495,1.0826429358781937,103138247252,0.01806575683264647,0.019558764016157915,0.8706844402831332
1170,NEM,NEWMONT CORPORATION,Materials,27/10/2023,182992920857,182992920857,0.6071388862206841,1009891818903,0.18120051814636637,0.11001388076999574,1.0750260251119568
1171,NES,NELSON RESOURCES LIMITED.,Materials,07/12/2017,13691305,13691305,0.8818083811857786,1009891818903,1.3557199636365257e-05,1.1954852264755674e-05,1.0750260251119568
1172,NEU,NEUREN PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",03/02/2005,2496065057,2496065057,1.1582323829256627,104138713167,0.02396865662241509,0.027761274275306794,0.8464389618170871
1173,NFL,NORFOLK METALS LIMITED,Materials,22/03/2022,10908154,10908154,-0.3174012543440025,1009891818903,1.0801309403465648e-05,-3.428349153217666e-06,1.0750260251119568
1174,NFM,NEW FRONTIER MINERALS LIMITED,Materials,14/12/2010,30930399,30930399,0.8549547519005424,1009891818903,3.062743793052834e-05,2.6185073597244118e-05,1.0750260251119568
1175,NGE,NGE CAPITAL LIMITED,Not Applic,28/12/2007,47166932,47166932,0.4798197817415433,53144097147,0.0008875290866177146,0.0004258540126301831,0.39524811934156545
1176,NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED,Financial Services,28/04/2006,1483176574,1483176574,0.9168207393858917,225859949849,0.006566797588468369,0.00602057622045706,1.3141430087693993
